Date,Returns,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2015-11-26,32.5,0.0,1.7,-1.32,-2.69,0.0,5.77,0.0,0.0,0.0,-3.65,0.0,7.66,-1.92,2.45,-1.8,2.1,-1.42,2.59,-0.98,2.99,1.0,-1.99,-0.51,0.08
2015-11-27,0.4,7.35,-2.93,-2.02,0.0,2.02,0.5,2.29,0.22,6.86,-2.87,8.5,7.5,-1.71,0.5,-1.73,-7.06,-3.0,1.27,6.73,-6.95,2.82,5.13,-0.72,5.5
2015-11-28,-3.4,-5.61,1.52,-0.87,0.0,-2.03,0.0,1.55,-0.01,9.7,1.1,0.0,-2.0,0.78,-4.0,-3.9,4.43,3.57,4.99,-3.5,-3.5,0.53,5.45,-3.98,-0.74
2015-11-29,11.11,-7.26,6.49,-3.36,-1.35,1.22,4.99,-3.82,0.0,0.72,-2.99,0.67,-0.32,-1.29,-0.43,0.0,1.25,0.22,3.0,0.0,0.2,0.3,0.0,-2.17,1.67
2015-11-30,9.18,0.0,0.0,0.0,0.01,-3.0,0.54,0.86,0.0,1.59,0.0,0.0,3.0,-0.53,-0.01,0.39,3.53,0.01,1.59,-2.39,-0.39,2.8,1.69,6.31,-3.0
2015-12-01,-14.28,10.0,-2.89,-1.26,-1.98,0.63,2.5,0.0,0.0,1.23,0.77,-1.25,-0.23,0.0,-2.52,0.72,1.28,-3.99,2.0,-0.01,2.0,-2.0,1.23,4.76,-3.79
2015-12-02,-1.83,0.17,-0.35,-0.44,0.74,-1.22,1.1,-0.88,0.45,-16.76,4.29,-3.47,-0.38,3.89,-2.49,0.15,2.56,-3.69,-1.86,4.99,-0.95,-1.29,1.24,1.0,-0.1
2015-12-03,0.32,-11.9,-3.0,3.45,0.07,-0.33,1.62,0.0,0.95,0.02,-2.41,0.0,0.0,-0.58,0.0,7.71,-1.2,0.7,4.0,-3.75,0.0,1.74,1.0,-0.99,0.01
2015-12-04,0.53,-1.11,-0.34,2.88,2.77,3.73,0.2,-5.73,1.58,-4.07,2.58,-5.12,1.62,1.0,1.19,-0.19,-3.0,1.1,3.9,0.0,-0.98,0.8,-2.76,1.54,0.4
2015-12-05,23.79,-0.5,-5.87,-0.63,2.5,1.5,0.0,0.0,1.0,-1.01,-0.99,1.01,-1.23,0.78,0.0,1.44,2.0,1.48,-2.42,-0.61,2.36,-1.81,1.25,-3.8,3.19
2015-12-06,9.68,-0.04,3.89,0.82,1.89,2.17,-0.37,3.35,-1.77,-1.58,0.34,7.66,2.43,-5.59,2.1,-5.54,4.65,0.39,0.6,-1.51,0.0,1.42,0.08,11.87,-4.08
2015-12-07,3.12,7.24,1.93,-3.08,0.75,0.99,7.83,-3.18,-6.59,0.0,1.16,-3.0,3.92,-4.26,1.21,0.89,-0.63,0.0,1.83,0.0,1.91,-0.07,1.57,-1.8,-6.44
2015-12-08,13.51,2.25,2.6,0.04,-0.71,-4.72,2.08,2.02,-1.33,-0.89,0.16,5.65,-1.32,5.31,-3.25,-0.14,0.25,0.84,0.7,2.23,-2.08,-4.77,3.53,1.55,-0.1
2015-12-09,6.85,-1.45,-1.45,0.0,0.0,0.0,-0.46,-1.92,0.0,3.83,0.0,0.0,0.0,0.0,-1.15,4.02,-2.32,-0.01,0.0,0.0,0.0,1.75,0.32,-2.37,23.31
2015-12-10,-2.49,-3.23,-2.76,5.46,2.73,-5.68,5.84,-0.38,-1.98,1.92,-4.46,3.25,2.07,-2.57,0.62,-0.09,-5.75,-4.99,4.99,-2.31,2.22,-0.8,4.62,0.78,0.5
2015-12-11,35.51,-3.0,2.38,-2.38,-2.0,2.22,-2.22,-0.94,-0.27,1.21,2.0,0.0,-1.43,-0.07,4.6,-0.23,-4.36,1.27,0.69,0.33,0.2,-1.03,1.52,-0.49,0.14
2015-12-12,-17.0,0.01,1.84,0.0,0.8,0.21,1.0,0.0,0.0,12.0,1.0,3.0,-1.62,0.33,-3.09,-0.29,0.67,2.51,2.49,3.01,6.78,6.18,-7.41,1.94,5.49
2015-12-13,0.9,-2.75,1.74,13.41,-0.09,-37.3,-20.0,7.77,8.5,-2.35,0.82,9.38,-1.55,-3.45,-9.12,5.56,1.87,2.57,0.26,-5.98,4.53,-5.48,2.78,3.89,5.0
2015-12-14,9.8,1.69,-1.24,1.55,-1.45,-7.52,0.0,3.5,0.0,4.47,1.9,-5.94,0.0,0.0,3.04,4.94,-0.05,-1.08,0.0,0.0,0.75,-1.54,-4.19,2.42,-1.91
2015-12-15,20.29,-4.48,6.81,0.0,0.0,2.19,-1.85,2.02,1.97,-0.38,2.4,1.98,-0.16,-2.83,7.98,-3.09,0.0,3.1,-2.0,-1.6,-1.04,-0.35,-2.22,2.71,2.11
2015-12-16,-9.65,1.39,1.0,4.99,-2.47,0.15,2.08,3.59,-1.62,-0.01,-2.84,-0.95,1.67,0.3,4.51,-2.77,5.37,-0.63,0.28,-0.6,0.95,0.0,2.63,-0.33,1.69
2015-12-17,1.66,-2.08,-0.14,2.32,-20.91,6.48,2.34,-1.17,2.55,1.62,6.93,-4.42,1.95,-0.7,-5.62,0.09,2.25,-0.21,-2.81,1.53,-0.21,2.01,1.71,-4.5,1.0
2015-12-18,5.02,1.86,-7.61,2.15,-1.2,1.12,5.81,-2.06,1.29,0.0,0.0,0.0,0.0,0.58,0.06,0.0,1.04,-2.16,-1.28,-0.49,-0.11,0.0,0.0,3.0,-0.85
2015-12-19,-1.22,-0.15,0.0,0.0,1.75,0.0,4.6,1.95,-0.09,-1.49,0.0,-3.56,0.65,0.0,2.14,-1.44,-0.51,0.0,-0.99,0.74,-0.73,4.24,-0.26,-0.98,0.98
2015-12-20,-22.29,0.5,0.0,0.0,0.0,0.0,-0.47,0.0,-2.53,2.0,0.5,0.0,0.0,0.0,-0.5,0.0,0.0,-8.5,6.53,1.28,-2.4,-0.01,-0.05,1.45,0.0
2015-12-21,-1.52,0.21,-0.01,-1.5,-1.67,1.27,1.56,0.0,0.0,0.0,0.0,0.0,-1.56,0.0,0.0,-3.43,-0.93,-4.82,-15.42,6.37,4.31,-1.39,-3.69,0.64,1.86
2015-12-22,-2.17,-14.65,0.06,3.99,3.0,13.99,-11.64,-0.57,-0.78,2.0,-3.14,3.14,8.79,-8.08,4.0,-2.25,-4.49,2.03,0.73,-2.86,1.74,0.34,-1.91,-0.41,2.24
2015-12-23,8.72,0.12,1.0,-1.36,0.0,0.0,-0.01,0.0,2.34,0.03,0.74,-1.08,-0.85,0.0,-2.78,-0.23,-1.19,2.62,-1.62,-0.51,0.0,0.2,1.7,-3.2,2.56
2015-12-24,10.92,-0.35,-1.25,0.23,0.0,1.08,0.32,0.01,0.29,0.0,0.0,2.3,0.01,-0.54,0.54,-0.19,-0.54,0.46,2.2,1.86,-0.63,0.84,0.19,-1.18,1.54
2015-12-25,3.13,0.0,0.45,5.28,4.48,-6.51,6.02,0.74,0.0,0.0,0.0,0.0,2.22,-3.81,-1.92,3.07,0.43,0.01,1.28,-0.9,1.23,-0.83,0.05,-0.45,0.08
2015-12-26,-39.87,3.54,2.86,-4.5,0.39,0.0,3.16,-2.61,0.0,-4.17,0.0,0.82,0.0,-0.93,-0.03,0.01,0.0,0.0,0.93,2.78,0.0,-0.01,0.0,0.89,0.0
2015-12-27,3.34,0.0,-1.04,-6.16,-6.29,-3.01,-4.16,1.72,0.0,-4.65,-1.0,-16.0,7.27,2.73,-6.03,3.13,6.4,-18.95,10.26,-2.32,8.29,0.0,-11.82,0.04,1.3
2015-12-28,-1.26,-10.53,4.48,0.0,0.0,4.01,-1.96,-2.68,7.21,-1.25,0.0,3.92,-0.17,-0.22,-4.73,-1.3,4.92,-3.37,0.0,2.59,0.0,1.66,1.18,0.0,-0.55
2015-12-29,9.96,4.49,-0.22,3.53,-0.62,-3.68,0.0,2.82,0.0,-1.32,-1.51,-2.06,0.0,1.97,-0.71,-0.85,0.06,-0.25,-0.73,0.0,-1.36,-2.28,2.68,-0.67,0.99
2015-12-30,-2.52,0.0,3.08,-0.73,-2.28,0.0,0.0,-0.07,0.1,-0.1,0.0,0.0,0.0,0.0,1.19,0.0,6.48,1.15,2.76,-0.62,-1.75,-1.95,1.95,0.0,1.9
2015-12-31,4.26,1.31,-1.2,-1.41,0.0,0.04,0.0,-0.8,0.75,-0.03,0.75,0.0,0.0,-1.46,-8.75,0.0,3.72,1.18,1.76,1.23,-1.59,0.0,0.0,-0.16,1.74
2016-01-01,2.05,-2.41,2.42,-0.93,0.0,0.0,-7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,-3.44,5.49,0.22,0.0,0.0,1.88,-0.3,-1.29,-2.55
2016-01-02,1.2,0.0,2.73,0.0,0.0,3.85,0.0,-1.55,1.25,0.36,0.0,-3.33,0.0,0.0,-2.75,3.77,0.0,-0.62,-0.41,2.48,-0.18,0.0,1.06,-2.06,0.0
2016-01-03,-11.49,0.0,-0.61,1.0,-2.24,1.78,0.0,-0.55,0.0,-0.74,3.81,-0.28,0.0,0.0,0.0,0.0,0.0,-0.22,3.03,0.0,-2.13,0.0,0.0,-1.65,0.0
2016-01-04,10.74,2.24,0.0,-6.91,-3.75,0.3,0.0,0.91,0.15,0.73,-0.19,0.0,0.0,0.0,-3.38,0.0,0.0,-16.73,12.88,1.0,-13.89,0.0,15.15,0.0,0.0
2016-01-05,-2.02,0.0,1.74,0.0,0.0,0.0,0.0,2.89,-0.04,1.13,0.0,0.0,0.0,0.0,-2.22,3.14,2.02,-0.23,-0.02,-0.12,1.25,2.21,0.18,-1.18,-0.64
2016-01-06,-1.88,1.26,0.0,-1.35,-1.71,0.0,1.18,0.0,0.0,-0.43,-0.57,-0.27,0.0,1.02,-1.95,1.47,0.37,-0.99,0.07,0.63,0.08,0.51,-0.5,-0.21,1.01
2016-01-07,25.9,-0.85,0.77,-2.56,-3.47,0.32,2.71,0.44,0.0,0.0,0.0,-1.0,0.0,0.0,1.77,-0.82,0.4,0.41,-0.14,-1.07,0.54,0.05,-0.24,0.0,-0.36
2016-01-08,-0.32,0.6,-0.57,7.07,3.01,-1.69,8.44,3.5,2.1,-4.4,-0.13,1.86,-1.4,6.91,-2.11,-1.84,1.82,-0.26,0.88,1.31,0.01,0.0,0.0,1.0,3.0
2016-01-09,-6.57,0.99,-3.09,0.45,-0.05,-2.32,-0.29,0.83,-0.89,1.45,0.0,0.0,0.0,0.0,-0.82,0.74,-1.86,-0.59,-4.15,0.0,1.65,1.65,0.6,0.14,-1.31
2016-01-10,-5.51,1.27,2.05,-4.14,-0.17,-2.58,-0.84,-0.22,2.49,0.01,-0.73,-2.04,0.0,0.0,2.25,-2.66,1.71,1.74,-1.09,0.78,1.74,-1.76,-0.89,1.89,-1.83
2016-01-11,6.68,-5.11,0.0,-1.19,3.03,-3.44,0.0,0.0,0.0,-0.38,-1.02,0.39,-0.39,-1.99,0.0,1.62,0.1,0.0,0.0,5.7,-0.03,-2.8,0.0,0.0,0.0
2016-01-12,-5.88,5.77,0.0,-0.72,0.0,0.08,-0.08,-2.9,0.0,-1.55,0.8,0.0,0.0,0.93,0.65,-1.5,0.66,0.53,1.04,-0.02,-1.04,1.45,0.05,-0.03,0.28
2016-01-13,-13.72,-2.0,0.0,0.0,0.02,-0.02,0.2,0.0,0.19,-0.37,0.22,-2.04,2.19,0.0,-0.39,-0.97,-0.15,0.58,-0.46,-0.01,0.0,0.01,-1.5,0.9,-13.4
2016-01-14,-1.26,-12.0,12.08,-2.52,2.09,-2.19,0.0,-1.95,0.0,2.1,-0.25,-0.83,0.0,-1.2,0.25,1.79,0.6,-0.39,-0.44,-1.62,0.16,-0.85,1.06,5.36,-0.96
2016-01-15,-58.38,-1.23,-1.31,2.92,-0.44,-0.99,0.42,-0.61,0.0,0.0,0.0,-2.58,-1.72,4.65,0.0,0.36,-0.26,-0.4,1.44,-0.17,0.45,0.01,0.07,-3.07,1.48
2016-01-16,12.21,-1.48,-9.83,2.09,-1.74,-9.21,4.75,-1.79,-6.03,-1.0,0.0,1.47,-6.16,3.63,-14.3,-0.7,3.12,1.65,-6.16,3.02,-1.13,0.63,-3.56,-29.84,2.22
2016-01-17,-0.35,4.62,2.8,3.48,-0.99,0.38,0.96,-7.21,-3.41,-6.03,3.77,11.73,-0.62,-0.31,-1.5,2.31,-3.11,0.91,-0.27,4.26,7.26,3.96,-4.19,2.0,5.67
2016-01-18,1.13,2.41,-2.62,-0.67,-2.32,0.77,-2.43,0.0,-0.92,0.0,0.01,0.0,-1.47,0.0,0.0,3.06,3.21,-3.82,1.37,1.31,-0.07,-0.64,-0.71,0.0,-3.89
2016-01-19,-4.45,0.0,0.0,0.0,0.59,-2.83,-1.83,-1.1,-0.01,0.0,0.0,0.0,6.92,-0.86,4.75,0.54,-0.03,-0.74,-0.46,1.14,-1.93,-0.23,-1.89,0.0,2.24
2016-01-20,36.93,-1.28,-0.79,0.22,0.0,-0.21,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,-2.53,-1.8,-0.31,-1.08,-1.24,1.59,1.09,1.16,-1.92
2016-01-21,-5.37,-2.59,2.02,-1.05,2.24,-0.19,0.0,3.55,0.0,-5.36,0.0,0.0,0.0,13.95,11.19,2.76,6.18,-0.27,-4.98,1.25,3.48,-2.43,-1.68,7.43,10.38
2016-01-22,-19.14,-4.58,-0.26,-0.54,-1.83,-2.04,0.0,0.05,-2.45,0.0,6.09,-1.26,-3.07,-0.66,-0.8,2.38,-0.82,-10.54,3.67,-1.96,0.76,-1.18,1.08,5.76,-3.0
2016-01-23,-5.2,-2.48,-1.91,1.56,-5.29,-9.24,4.09,0.0,-2.41,2.58,0.17,0.76,-7.68,2.44,2.04,-0.68,1.47,-11.71,-0.6,0.66,-1.05,-3.57,1.27,1.2,28.2
2016-01-24,13.94,0.0,-25.0,0.0,19.99,0.0,-10.99,-3.69,-3.72,0.0,18.39,0.0,0.0,-23.46,3.04,-0.56,2.4,4.87,-2.35,0.62,0.64,0.8,0.01,-0.96,-5.16
2016-01-25,-8.66,0.63,2.31,1.69,-0.01,-0.51,0.0,0.68,0.0,-1.88,14.85,-4.17,2.3,-1.35,-0.92,3.13,-0.38,0.11,-0.24,1.28,0.57,0.02,-1.08,-0.35,1.09
2016-01-26,-4.08,-5.05,-1.11,1.46,-0.36,1.19,-0.98,-0.62,0.99,1.22,-0.23,0.85,-3.47,0.0,2.18,0.23,-1.36,-7.54,-0.01,0.19,-0.28,1.28,0.15,1.82,-2.13
2016-01-27,6.54,1.93,0.46,-0.79,-0.25,-2.16,1.57,0.0,0.46,0.0,2.72,1.75,-1.32,0.19,-0.03,-2.19,-1.4,1.5,0.49,-0.84,0.55,-0.09,-0.16,1.54,-1.94
2016-01-28,-14.62,-0.64,0.22,0.73,-0.66,0.01,2.28,1.28,-0.29,-2.94,1.63,2.32,-2.29,-0.81,0.0,1.05,-1.36,1.46,-0.05,-0.99,0.18,0.97,0.0,0.84,-0.49
2016-01-29,-1.53,-0.43,-1.01,-10.05,-2.82,-0.68,1.13,-0.87,-0.16,2.55,-0.09,-0.1,-0.09,0.0,-0.2,1.8,-0.6,-0.88,-0.21,-0.69,0.82,0.15,-0.01,-1.81,-1.58
2016-01-30,-1.06,-12.12,1.3,0.29,0.56,0.0,0.53,2.67,0.0,0.0,3.43,5.95,0.0,0.62,-1.93,-1.56,0.14,-0.46,-0.75,0.03,-1.67,-0.63,-0.13,4.02,-0.84
2016-01-31,-8.33,0.36,0.07,0.13,-1.05,-1.37,1.34,0.0,1.34,-0.48,0.0,-2.36,0.0,0.55,-0.24,1.21,0.69,-0.88,-3.9,2.76,-0.22,-0.25,1.3,0.21,0.0
2016-02-01,1.74,0.0,0.0,1.59,-0.36,0.43,0.0,0.0,0.0,0.01,-0.43,-0.34,0.33,0.0,-1.37,-1.81,2.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,-11.13
2016-02-02,1.46,3.81,-2.53,3.35,2.58,0.78,0.92,-0.49,0.04,-0.74,-1.2,4.55,0.0,0.0,-1.09,-1.57,-1.18,0.87,-1.25,-0.99,-0.9,-1.79,-0.39,1.64,0.65
2016-02-03,-4.5,1.56,0.26,-0.32,0.0,0.0,0.21,0.13,-0.13,0.16,-0.17,-0.85,0.0,0.45,0.61,-0.54,1.6,-1.16,-0.13,-0.95,0.58,-0.23,0.22,-0.18,-0.05
2016-02-04,21.47,-0.55,0.39,-0.07,-0.42,0.11,0.0,-1.1,1.48,0.0,0.05,0.0,-2.36,0.97,-0.17,-0.53,-0.27,0.52,-1.45,0.28,0.86,-0.45,-0.74,-0.9,0.89
